timestamp,open,high,low,close,volume,vwap
2025-04-15 06:03:00-04:00,539.81,539.81,539.69,539.69,961.0,539.7448
2025-04-15 06:04:00-04:00,539.74,539.74,539.74,539.74,181.0,539.7545
2025-04-15 06:05:00-04:00,539.67,539.67,539.67,539.67,503.0,539.674
2025-04-15 06:06:00-04:00,539.63,539.65,539.63,539.65,15002.0,539.6483
2025-04-15 06:07:00-04:00,539.74,539.88,539.74,539.84,1378.0,539.7982
2025-04-15 06:08:00-04:00,539.96,540.01,539.96,540.01,774.0,540.0011
2025-04-15 06:09:00-04:00,539.91,539.99,539.9,539.99,2124.0,539.9334
2025-04-15 06:10:00-04:00,539.98,539.98,539.86,539.86,557.0,539.9243
2025-04-15 06:11:00-04:00,540.05,540.05,540.05,540.05,1236.0,540.0294
2025-04-15 06:12:00-04:00,540.1,540.14,540.0,540.0,963.0,540.0935
2025-04-15 06:14:00-04:00,540.04,540.04,540.04,540.04,275.0,540.0358
2025-04-15 06:15:00-04:00,540.01,540.01,539.83,539.87,1590.0,539.8719
2025-04-15 06:17:00-04:00,539.9,539.9,539.9,539.9,379.0,539.8703
2025-04-15 06:18:00-04:00,539.81,539.81,539.81,539.81,376.0,539.8467
2025-04-15 06:20:00-04:00,540.1,540.15,540.07,540.15,1658.0,540.1116
2025-04-15 06:21:00-04:00,540.3,540.32,540.3,540.32,1860.0,540.304
2025-04-15 06:22:00-04:00,540.18,540.18,540.07,540.07,1733.0,540.1372
2025-04-15 06:23:00-04:00,539.98,539.99,539.98,539.99,970.0,539.9938
2025-04-15 06:24:00-04:00,540.07,540.07,540.07,540.07,668.0,540.1487
2025-04-15 06:28:00-04:00,540.05,540.05,540.05,540.05,161.0,540.0453
2025-04-15 06:29:00-04:00,540.05,540.05,540.05,540.05,709.0,540.0375
2025-04-15 06:31:00-04:00,539.89,540.26,539.89,540.26,1152.0,540.1438
2025-04-15 06:35:00-04:00,540.02,540.05,540.0,540.0,1646.0,540.0237
2025-04-15 06:36:00-04:00,539.94,539.94,539.94,539.94,958.0,539.9043
2025-04-15 06:37:00-04:00,539.93,540.0,539.91,539.97,10351.0,539.9587
2025-04-15 06:38:00-04:00,539.93,539.93,539.91,539.91,1124.0,539.9253
2025-04-15 06:39:00-04:00,539.89,539.9,539.88,539.88,1597.0,539.8843
2025-04-15 06:40:00-04:00,539.85,539.85,539.85,539.85,416.0,539.8592
2025-04-15 06:41:00-04:00,539.91,539.91,539.72,539.74,4560.0,539.8146
2025-04-15 06:42:00-04:00,539.25,539.25,539.25,539.25,734.0,539.2608
2025-04-15 06:43:00-04:00,539.35,539.35,539.35,539.35,664.0,539.3385
2025-04-15 06:44:00-04:00,539.3,539.3,539.21,539.21,1842.0,539.2787
2025-04-15 06:45:00-04:00,539.22,539.39,539.21,539.39,6413.0,539.3252
2025-04-15 06:46:00-04:00,539.32,539.39,539.32,539.39,1537.0,539.3696
2025-04-15 06:47:00-04:00,539.08,539.08,538.75,538.76,2564.0,538.8806
2025-04-15 06:48:00-04:00,538.77,539.12,538.77,539.12,1030.0,538.8953
2025-04-15 06:49:00-04:00,539.22,539.22,539.13,539.14,707.0,539.1468
2025-04-15 06:50:00-04:00,539.09,539.13,538.96,539.06,8603.0,539.0478
2025-04-15 06:51:00-04:00,539.03,539.06,538.97,539.06,1287.0,539.0171
2025-04-15 06:52:00-04:00,539.45,539.45,539.35,539.45,2711.0,539.4174
2025-04-15 06:53:00-04:00,539.41,539.56,539.41,539.47,1200.0,539.4926
2025-04-15 06:54:00-04:00,539.47,539.47,539.36,539.42,2333.0,539.3888
2025-04-15 06:55:00-04:00,539.37,539.42,539.36,539.42,4512.0,539.3781
2025-04-15 06:57:00-04:00,539.45,539.45,539.36,539.37,1681.0,539.3827
2025-04-15 06:58:00-04:00,539.42,539.42,539.36,539.36,816.0,539.4023
2025-04-15 06:59:00-04:00,539.56,539.68,539.56,539.68,1656.0,539.6029
2025-04-15 07:00:00-04:00,539.67,539.87,539.65,539.73,3608.0,539.7421
2025-04-15 07:01:00-04:00,539.63,539.76,539.52,539.58,2716.0,539.6398
2025-04-15 07:02:00-04:00,539.49,539.49,539.42,539.42,1519.0,539.4312
2025-04-15 07:03:00-04:00,539.58,539.58,539.58,539.58,654.0,539.5068
2025-04-15 07:04:00-04:00,539.73,539.8,539.71,539.75,5178.0,539.7281
2025-04-15 07:05:00-04:00,539.74,539.75,539.69,539.75,914.0,539.7324
2025-04-15 07:07:00-04:00,539.45,539.55,539.45,539.48,1210.0,539.4722
2025-04-15 07:08:00-04:00,539.44,539.49,539.44,539.49,469.0,539.4619
2025-04-15 07:09:00-04:00,539.48,539.7,539.48,539.62,4253.0,539.6279
2025-04-15 07:10:00-04:00,539.55,539.58,539.5,539.5,1154.0,539.5328
2025-04-15 07:12:00-04:00,539.52,539.52,539.52,539.52,393.0,539.5078
2025-04-15 07:13:00-04:00,539.13,539.15,539.13,539.15,645.0,539.1671
2025-04-15 07:14:00-04:00,539.23,539.23,539.23,539.23,495.0,539.1659
2025-04-15 07:15:00-04:00,539.18,539.2,539.18,539.2,564.0,539.1955
2025-04-15 07:16:00-04:00,539.3,539.32,539.3,539.32,1326.0,539.3113
2025-04-15 07:17:00-04:00,539.27,539.3,539.27,539.3,1937.0,539.2925
2025-04-15 07:18:00-04:00,539.34,539.34,539.291,539.32,5091.0,539.3193
2025-04-15 07:19:00-04:00,539.3,539.3,539.28,539.28,864.0,539.2626
2025-04-15 07:20:00-04:00,539.23,539.37,539.23,539.37,1072.0,539.3097
2025-04-15 07:21:00-04:00,539.21,539.38,539.21,539.38,1373.0,539.2646
2025-04-15 07:22:00-04:00,539.2,539.22,539.17,539.22,3751.0,539.2042
2025-04-15 07:23:00-04:00,539.25,539.25,539.24,539.24,1836.0,539.2483
2025-04-15 07:24:00-04:00,539.29,539.4,539.29,539.4,2892.0,539.326
2025-04-15 07:25:00-04:00,539.5,539.53,539.5,539.53,2353.0,539.5087
2025-04-15 07:26:00-04:00,539.52,539.52,539.52,539.52,140.0,539.535
2025-04-15 07:27:00-04:00,539.43,539.75,539.36,539.75,3576.0,539.507
2025-04-15 07:28:00-04:00,539.75,539.89,539.75,539.8,8981.0,539.8492
2025-04-15 07:29:00-04:00,539.67,539.67,539.56,539.56,2893.0,539.6502
2025-04-15 07:30:00-04:00,539.51,539.77,539.48,539.77,3791.0,539.6668
2025-04-15 07:31:00-04:00,539.89,539.91,539.89,539.91,1987.0,539.8933
2025-04-15 07:32:00-04:00,539.95,540.0,539.91,539.99,10424.0,539.9598
